Oklahoma State,big-12
Kansas State,big-12
Baylor,big-12
Oklahoma,big-12
Missouri,big-12
Texas,big-12
Texas A&amp;M,big-12
Iowa State,big-12
Texas Tech,big-12
Kansas,big-12
Georgia,sec
South Carolina,sec
Florida,sec
Vanderbilt,sec
Kentucky,sec
Tennessee,sec
Louisiana State,sec
Alabama,sec
Arkansas,sec
Auburn,sec
Mississippi State,sec
Mississippi,sec
Wisconsin,big-ten
Penn State,big-ten
Purdue,big-ten
Ohio State,big-ten
Illinois,big-ten
Indiana,big-ten
Michigan State,big-ten
Michigan,big-ten
Nebraska,big-ten
Iowa,big-ten
Northwestern,big-ten
Minnesota,big-ten
Oregon,pac-12
Stanford,pac-12
Washington,pac-12
California,pac-12
Oregon State,pac-12
Washington State,pac-12
Southern California,pac-12
UCLA,pac-12
Utah,pac-12
Arizona State,pac-12
Arizona,pac-12
Colorado,pac-12
Cincinnati,big-east
West Virginia,big-east
Louisville,big-east
Rutgers,big-east
Pittsburgh,big-east
Connecticut,big-east
South Florida,big-east
Syracuse,big-east
Clemson,acc
Florida State,acc
Wake Forest,acc
North Carolina State,acc
Boston College,acc
Maryland,acc
Virginia Tech,acc
Georgia Tech,acc
Virginia,acc
North Carolina,acc
Miami (FL),acc
Duke,acc
Brigham Young,independent
Notre Dame,independent
Navy,independent
Army,independent
Texas Christian,mwc
Boise State,mwc
Wyoming,mwc
San Diego State,mwc
Air Force,mwc
Colorado State,mwc
Nevada-Las Vegas,mwc
New Mexico,mwc
Ohio,mac
Temple,mac
Kent State,mac
Bowling Green State,mac
Miami (OH),mac
Buffalo,mac
Akron,mac
Northern Illinois,mac
Toledo,mac
Western Michigan,mac
Ball State,mac
Eastern Michigan,mac
Central Michigan,mac
Southern Mississippi,cusa
Marshall,cusa
East Carolina,cusa
Central Florida,cusa
Alabama-Birmingham,cusa
Memphis,cusa
Houston,cusa
Tulsa,cusa
Southern Methodist,cusa
Rice,cusa
Texas-El Paso,cusa
Tulane,cusa
Louisiana Tech,wac
Nevada,wac
Utah State,wac
Hawaii,wac
San Jose State,wac
Fresno State,wac
New Mexico State,wac
Idaho,wac
Arkansas State,sun-belt
Western Kentucky,sun-belt
Louisiana-Lafayette,sun-belt
Florida International,sun-belt
North Texas,sun-belt
Louisiana-Monroe,sun-belt
Troy,sun-belt
Middle Tennessee State,sun-belt
Florida Atlantic,sun-belt
