Southern California,pac-10
Washington State,pac-10
Arizona State,pac-10
Oregon State,pac-10
UCLA,pac-10
California,pac-10
Washington,pac-10
Oregon,pac-10
Arizona,pac-10
Stanford,pac-10
Georgia,sec
Florida,sec
Tennessee,sec
Kentucky,sec
South Carolina,sec
Vanderbilt,sec
Alabama,sec
Auburn,sec
Arkansas,sec
Louisiana State,sec
Mississippi,sec
Mississippi State,sec
Colorado,big-12
Kansas State,big-12
Iowa State,big-12
Nebraska,big-12
Missouri,big-12
Kansas,big-12
Oklahoma,big-12
Texas,big-12
Texas Tech,big-12
Oklahoma State,big-12
Texas A&amp;M,big-12
Baylor,big-12
Ohio State,big-ten
Iowa,big-ten
Michigan,big-ten
Penn State,big-ten
Purdue,big-ten
Illinois,big-ten
Minnesota,big-ten
Wisconsin,big-ten
Michigan State,big-ten
Indiana,big-ten
Northwestern,big-ten
Florida State,acc
Maryland,acc
Virginia,acc
North Carolina State,acc
Clemson,acc
Georgia Tech,acc
Wake Forest,acc
North Carolina,acc
Duke,acc
Miami (FL),big-east
West Virginia,big-east
Pittsburgh,big-east
Virginia Tech,big-east
Boston College,big-east
Syracuse,big-east
Temple,big-east
Rutgers,big-east
South Florida,independent
Notre Dame,independent
Connecticut,independent
Utah State,independent
Troy,independent
Navy,independent
Colorado State,mwc
New Mexico,mwc
Air Force,mwc
San Diego State,mwc
Utah,mwc
Nevada-Las Vegas,mwc
Brigham Young,mwc
Wyoming,mwc
Texas Christian,cusa
Cincinnati,cusa
Louisville,cusa
Southern Mississippi,cusa
Tulane,cusa
Alabama-Birmingham,cusa
East Carolina,cusa
Houston,cusa
Memphis,cusa
Army,cusa
Marshall,mac
Central Florida,mac
Miami (OH),mac
Ohio,mac
Akron,mac
Kent State,mac
Buffalo,mac
Northern Illinois,mac
Toledo,mac
Bowling Green State,mac
Ball State,mac
Western Michigan,mac
Central Michigan,mac
Eastern Michigan,mac
Boise State,wac
Hawaii,wac
Fresno State,wac
San Jose State,wac
Nevada,wac
Rice,wac
Louisiana Tech,wac
Southern Methodist,wac
Texas-El Paso,wac
Tulsa,wac
North Texas,sun-belt
New Mexico State,sun-belt
Arkansas State,sun-belt
Middle Tennessee State,sun-belt
Louisiana-Lafayette,sun-belt
Louisiana-Monroe,sun-belt
Idaho,sun-belt
