Georgia,sec
Tennessee,sec
Florida,sec
Kentucky,sec
South Carolina,sec
Vanderbilt,sec
Louisiana State,sec
Auburn,sec
Arkansas,sec
Mississippi State,sec
Alabama,sec
adjusted to,sec
Mississippi,sec
Southern California,pac-10
Arizona State,pac-10
Oregon State,pac-10
Oregon,pac-10
UCLA,pac-10
Arizona,pac-10
California,pac-10
Washington State,pac-10
Stanford,pac-10
Washington,pac-10
West Virginia,big-east
Connecticut,big-east
Cincinnati,big-east
South Florida,big-east
Rutgers,big-east
Louisville,big-east
Pittsburgh,big-east
Syracuse,big-east
Kansas,big-12
Missouri,big-12
Colorado,big-12
Kansas State,big-12
Nebraska,big-12
Iowa State,big-12
Oklahoma,big-12
Texas,big-12
Texas Tech,big-12
Oklahoma State,big-12
Texas A&amp;M,big-12
Baylor,big-12
Boston College,acc
Clemson,acc
Wake Forest,acc
Florida State,acc
adjusted to,acc
Maryland,acc
North Carolina State,acc
Virginia Tech,acc
Virginia,acc
Georgia Tech,acc
North Carolina,acc
Miami (FL),acc
Duke,acc
Ohio State,big-ten
Illinois,big-ten
Michigan,big-ten
Wisconsin,big-ten
Penn State,big-ten
Iowa,big-ten
Purdue,big-ten
Indiana,big-ten
Michigan State,big-ten
Northwestern,big-ten
Minnesota,big-ten
Brigham Young,mwc
Air Force,mwc
New Mexico,mwc
Utah,mwc
Texas Christian,mwc
San Diego State,mwc
Wyoming,mwc
Colorado State,mwc
Nevada-Las Vegas,mwc
Hawaii,wac
Boise State,wac
Fresno State,wac
Nevada,wac
Louisiana Tech,wac
San Jose State,wac
Utah State,wac
New Mexico State,wac
Idaho,wac
Navy,independent
Western Kentucky,independent
Army,independent
Notre Dame,independent
Central Florida,cusa
East Carolina,cusa
Memphis,cusa
Southern Mississippi,cusa
Marshall,cusa
Alabama-Birmingham,cusa
Tulsa,cusa
Houston,cusa
Tulane,cusa
Rice,cusa
Texas-El Paso,cusa
Southern Methodist,cusa
Troy,sun-belt
Florida Atlantic,sun-belt
Louisiana-Monroe,sun-belt
Middle Tennessee State,sun-belt
Arkansas State,sun-belt
Louisiana-Lafayette,sun-belt
North Texas,sun-belt
Florida International,sun-belt
Bowling Green State,mac
Miami (OH),mac
Buffalo,mac
Ohio,mac
Temple,mac
Akron,mac
Kent State,mac
Central Michigan,mac
Ball State,mac
Western Michigan,mac
Eastern Michigan,mac
Toledo,mac
Northern Illinois,mac
