Stanford,pac-12
Oregon,pac-12
Washington,pac-12
Oregon State,pac-12
Washington State,pac-12
California,pac-12
Arizona State,pac-12
UCLA,pac-12
Southern California,pac-12
Arizona,pac-12
Utah,pac-12
Colorado,pac-12
Missouri,sec
South Carolina,sec
Georgia,sec
Vanderbilt,sec
Florida,sec
Tennessee,sec
Kentucky,sec
Auburn,sec
Alabama,sec
Louisiana State,sec
Texas A&amp;M,sec
Mississippi,sec
Mississippi State,sec
Arkansas,sec
Baylor,big-12
Oklahoma,big-12
Oklahoma State,big-12
Texas,big-12
Kansas State,big-12
Texas Tech,big-12
Texas Christian,big-12
West Virginia,big-12
Iowa State,big-12
Kansas,big-12
Ohio State,big-ten
Wisconsin,big-ten
Penn State,big-ten
Indiana,big-ten
Illinois,big-ten
Purdue,big-ten
Michigan State,big-ten
Nebraska,big-ten
Iowa,big-ten
Minnesota,big-ten
Michigan,big-ten
Northwestern,big-ten
Florida State,acc
Clemson,acc
Boston College,acc
Syracuse,acc
Maryland,acc
Wake Forest,acc
North Carolina State,acc
Duke,acc
Miami (FL),acc
Virginia Tech,acc
Georgia Tech,acc
North Carolina,acc
Pittsburgh,acc
Virginia,acc
Central Florida,american
Louisville,american
Cincinnati,american
Houston,american
Southern Methodist,american
Rutgers,american
Connecticut,american
South Florida,american
Memphis,american
Temple,american
Utah State,mwc
Boise State,mwc
Colorado State,mwc
Wyoming,mwc
New Mexico,mwc
Air Force,mwc
Fresno State,mwc
San Diego State,mwc
Nevada-Las Vegas,mwc
San Jose State,mwc
Nevada,mwc
Hawaii,mwc
Notre Dame,independent
New Mexico State,independent
Navy,independent
Brigham Young,independent
Army,independent
Idaho,independent
Louisiana-Lafayette,sun-belt
Arkansas State,sun-belt
Western Kentucky,sun-belt
Louisiana-Monroe,sun-belt
South Alabama,sun-belt
Troy,sun-belt
Texas State,sun-belt
Georgia State,sun-belt
Marshall,cusa
East Carolina,cusa
Middle Tennessee State,cusa
Florida Atlantic,cusa
Alabama-Birmingham,cusa
Florida International,cusa
Southern Mississippi,cusa
Rice,cusa
North Texas,cusa
Texas-San Antonio,cusa
Tulane,cusa
Louisiana Tech,cusa
Tulsa,cusa
Texas-El Paso,cusa
Bowling Green State,mac
Buffalo,mac
Ohio,mac
Akron,mac
Kent State,mac
Massachusetts,mac
Miami (OH),mac
Northern Illinois,mac
Ball State,mac
Toledo,mac
Central Michigan,mac
Eastern Michigan,mac
Western Michigan,mac
