Missouri,sec
Georgia,sec
Florida,sec
South Carolina,sec
Tennessee,sec
Kentucky,sec
Vanderbilt,sec
Alabama,sec
Mississippi State,sec
Mississippi,sec
Auburn,sec
Louisiana State,sec
Texas A&amp;M,sec
Arkansas,sec
Oregon,pac-12
Stanford,pac-12
Washington,pac-12
California,pac-12
Oregon State,pac-12
Washington State,pac-12
Arizona,pac-12
Arizona State,pac-12
UCLA,pac-12
Southern California,pac-12
Utah,pac-12
Colorado,pac-12
Florida State,acc
Clemson,acc
Louisville,acc
Boston College,acc
North Carolina State,acc
Syracuse,acc
Wake Forest,acc
Georgia Tech,acc
Duke,acc
North Carolina,acc
Pittsburgh,acc
Virginia Tech,acc
Miami (FL),acc
Virginia,acc
Texas Christian,big-12
Baylor,big-12
Kansas State,big-12
Oklahoma,big-12
West Virginia,big-12
Texas,big-12
Oklahoma State,big-12
Texas Tech,big-12
Kansas,big-12
Iowa State,big-12
Ohio State,big-ten
Michigan State,big-ten
Maryland,big-ten
Rutgers,big-ten
Michigan,big-ten
Penn State,big-ten
Indiana,big-ten
Wisconsin,big-ten
Nebraska,big-ten
Minnesota,big-ten
Iowa,big-ten
Illinois,big-ten
Northwestern,big-ten
Purdue,big-ten
Brigham Young,independent
Navy,independent
Notre Dame,independent
Army,independent
Boise State,mwc
Colorado State,mwc
Utah State,mwc
Air Force,mwc
New Mexico,mwc
Wyoming,mwc
San Diego State,mwc
Fresno State,mwc
Nevada,mwc
Hawaii,mwc
San Jose State,mwc
Nevada-Las Vegas,mwc
Marshall,cusa
Middle Tennessee State,cusa
Western Kentucky,cusa
Alabama-Birmingham,cusa
Old Dominion,cusa
Florida International,cusa
Florida Atlantic,cusa
Louisiana Tech,cusa
Rice,cusa
Texas-El Paso,cusa
Texas-San Antonio,cusa
North Texas,cusa
Southern Mississippi,cusa
Memphis,american
Central Florida,american
Cincinnati,american
East Carolina,american
Houston,american
Temple,american
South Florida,american
Tulane,american
Tulsa,american
Connecticut,american
Southern Methodist,american
Bowling Green State,mac
Ohio,mac
Akron,mac
Massachusetts,mac
Buffalo,mac
Miami (OH),mac
Kent State,mac
Northern Illinois,mac
Toledo,mac
Western Michigan,mac
Central Michigan,mac
Ball State,mac
Eastern Michigan,mac
Georgia Southern,sun-belt
Appalachian State,sun-belt
Louisiana-Lafayette,sun-belt
Texas State,sun-belt
Arkansas State,sun-belt
South Alabama,sun-belt
Louisiana-Monroe,sun-belt
Troy,sun-belt
New Mexico State,sun-belt
Idaho,sun-belt
Georgia State,sun-belt
